Software Version            : FRANz 1.2.3
Dataset                     : cloneless
Time of Data Analysis       : Tue Apr 15 03:44:06 2025


*** MCMC Mismatches ***

Only mismatches with a percentage >= 0.05 are listed.

*** Locus 1 ***

51C0050        0.1128 %
MB0458         0.2400 %
TV0185         0.0978 %
TV0291         0.1945 %
TV0293         0.3553 %
TV1239         0.0539 %
TV1288         0.1098 %
TV2033         0.0645 %
TV2062         0.4048 %
TV2282         0.0597 %
TV3008         0.1236 %
TV3017         0.2157 %
TV3050         0.4947 %
TV3055         0.4824 %
TV3228         0.2008 %
TV3234         0.4789 %
TV4006         0.3594 %
TV4256         0.1126 %
TV4261         0.3406 %
TV4272         0.5243 %
TV4308         0.2764 %
TV4528         0.2832 %
TV4530         0.0679 %
TV4536         0.1660 %
TV4753         0.5820 %
TV5029         0.0861 %
TV5032         0.2708 %
TV5045         0.2122 %
TV5056         0.2165 %
TV5059         0.4767 %
TV5075         0.2353 %
TV5119         0.0524 %
TV5218         0.4641 %
TV5230         0.0713 %
TV5304         0.1622 %
TV6900         0.4271 %
TVE0036        0.0757 %

TOTAL: 37

*** Locus 2 ***

MB0002         0.2305 %
MB0008         0.3387 %
MB0009         0.4948 %
MB0010         0.3427 %
MB0011         0.5001 %
MB0450         0.2231 %
TV0195         0.3808 %
TV0198         0.3558 %
TV0258         0.1078 %
TV0259         0.1650 %
TV0441         0.1270 %
TV0538         0.0700 %
TV1036         0.0649 %
TV1258         0.0668 %
TV4254         0.4547 %
TV4284         0.2669 %
TV4286         0.6191 %
TV4287         0.3702 %
TV4304         0.0900 %
TV4525         0.0552 %
TV4546         0.7460 %
TV4754         0.6358 %
TV4796         0.1059 %
TV4835         0.1654 %
TV5056         0.0753 %
TV5063         0.0974 %
TV5138         0.4544 %
TV6310         0.5016 %
TV6316         0.4984 %

TOTAL: 29

*** Locus 3 ***

51C0068        0.0746 %
MB0403         0.2281 %
MB0452         0.2290 %
TV0176         0.3653 %
TV0177         0.3763 %
TV0244         0.1461 %
TV0263         0.0823 %
TV0284         0.1070 %
TV0285         0.1113 %
TV3017         0.1363 %
TV3056         0.2116 %
TV3211         0.4448 %
TV3212         0.0536 %
TV3213         0.4506 %
TV4001         0.4582 %
TV4004         0.6588 %
TV4007         0.3086 %
TV4010         0.7750 %
TV4255         0.2871 %
TV4259         0.2844 %
TV4265         0.1378 %
TV4272         0.1564 %
TV4273         0.0700 %
TV4284         0.0883 %
TV4286         0.0661 %
TV4301         0.0997 %
TV4305         0.0997 %
TV4316         0.8465 %
TV4512         0.6047 %
TV4513         0.1192 %
TV4514         0.1537 %
TV4516         0.1015 %
TV4517         0.0515 %
TV4524         0.6959 %
TV4558         0.5521 %
TV4566         0.0577 %
TV4754         0.7509 %
TV4755         0.5997 %
TV4773         0.0739 %
TV4798         0.1605 %
TV4827         0.0896 %
TV5081         0.1936 %
TV5125         0.0797 %
TV5128         0.0678 %
TV5132         0.1469 %
TV5143         0.1090 %
TV5168         0.0591 %
TV5247         0.0831 %
TV5252         0.4678 %
TV5254         0.4546 %
TV5257         0.4288 %
TV5280         0.0720 %
TV5303         0.0548 %
TV6609         0.2864 %

TOTAL: 54

*** Locus 4 ***

51C0059        0.2634 %
51C0063        0.2693 %
TV0190         0.5217 %
TV0196         0.4375 %
TV0459         0.0999 %
TV0899         0.0909 %
TV0971         0.2744 %
